description,disease
"nasal congestion, runny nose, sneezing and itchy eyes, skin hives",Allergy
"fever for 4 days, weakness and fatigue, loss of appetite, headache",Typhoid
"weakness and fatigue, loss of appetite, headache, fever for 4 days",Typhoid
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"sneezing and itchy eyes, runny nose, nasal congestion, skin hives",Allergy
"nasal congestion, skin hives, runny nose",Allergy
"chest pain, acid reflux, heartburn after meals, difficulty swallowing",GERD
"vomiting, dehydration, abdominal cramps",Gastroenteritis
"vomiting, abdominal cramps, dehydration",Gastroenteritis
"burning sensation, rash, itchy skin with redness, flaky patches",Fungal Infection
"throbbing headache, nausea, sensitivity to light",Migraine
"nasal congestion, sneezing and itchy eyes",Allergy
"dehydration, vomiting, diarrhea, abdominal cramps",Gastroenteritis
"chest pain, difficulty swallowing",GERD
"loss of appetite, headache, fever and tiredness, itchy blister rash",Chickenpox
"fever and tiredness, itchy blister rash",Chickenpox
"visual disturbances, throbbing headache, nausea, sensitivity to light",Migraine
"nasal congestion, runny nose",Allergy
"sneezing and runny nose, cough",Common Cold
"rash, burning sensation",Fungal Infection
"sneezing and runny nose, sore throat",Common Cold
"body aches, high fever with chills, sweating, nausea",Malaria
"nausea, visual disturbances, sensitivity to light, throbbing headache",Migraine
"sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"dehydration, diarrhea",Gastroenteritis
"sensitivity to light, visual disturbances, nausea",Migraine
"sensitivity to light, nausea, visual disturbances",Migraine
"sneezing and runny nose, sore throat, nasal congestion",Common Cold
"frequent urge to urinate, painful urination, cloudy urine, lower abdominal pain",UTI
"nausea, high fever with chills",Malaria
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"fever for 1 days, loss of appetite, weakness and fatigue",Typhoid
"headache, fever for 4 days, loss of appetite",Typhoid
"throbbing headache, sensitivity to light, visual disturbances",Migraine
"itchy skin with redness, flaky patches",Fungal Infection
"sore throat, nasal congestion, cough",Common Cold
"itchy blister rash, fever and tiredness, loss of appetite, headache",Chickenpox
"fever and tiredness, loss of appetite, itchy blister rash, headache",Chickenpox
"acid reflux, chest pain, heartburn after meals",GERD
"loss of appetite, fever for 4 days, headache",Typhoid
"fever and tiredness, itchy blister rash",Chickenpox
"loss of appetite, weakness and fatigue",Typhoid
"weakness and fatigue, headache",Typhoid
"chest pain, difficulty swallowing, heartburn after meals",GERD
"cough, sneezing and runny nose, sore throat, nasal congestion",Common Cold
"runny nose, skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"difficulty swallowing, acid reflux",GERD
"painful urination, frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"nausea, high fever with chills, sweating, body aches",Malaria
"diarrhea, vomiting, abdominal cramps",Gastroenteritis
"itchy skin with redness, burning sensation",Fungal Infection
"throbbing headache, visual disturbances",Migraine
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"high fever with chills, body aches",Malaria
"throbbing headache, nausea, visual disturbances",Migraine
"sensitivity to light, throbbing headache, visual disturbances",Migraine
"nausea, sweating, high fever with chills",Malaria
"diarrhea, abdominal cramps",Gastroenteritis
"vomiting, dehydration",Gastroenteritis
"dehydration, vomiting, abdominal cramps",Gastroenteritis
"sensitivity to light, visual disturbances",Migraine
"burning sensation, rash, flaky patches",Fungal Infection
"loss of appetite, fever and tiredness",Chickenpox
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"rash, itchy skin with redness, flaky patches, burning sensation",Fungal Infection
"sensitivity to light, nausea, throbbing headache",Migraine
"vomiting, dehydration",Gastroenteritis
"nasal congestion, sore throat, cough",Common Cold
"vomiting, abdominal cramps, dehydration",Gastroenteritis
"vomiting, abdominal cramps",Gastroenteritis
"sore throat, cough, nasal congestion, sneezing and runny nose",Common Cold
"nasal congestion, runny nose",Allergy
"headache, loss of appetite, weakness and fatigue",Typhoid
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"runny nose, skin hives, nasal congestion, sneezing and itchy eyes",Allergy
"heartburn after meals, chest pain, difficulty swallowing",GERD
"loss of appetite, headache, fever for 2 days",Typhoid
"sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"rash, itchy skin with redness, flaky patches, burning sensation",Fungal Infection
"lower abdominal pain, cloudy urine, painful urination",UTI
"diarrhea, dehydration, abdominal cramps, vomiting",Gastroenteritis
"headache, itchy blister rash",Chickenpox
"sensitivity to light, nausea, visual disturbances",Migraine
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"acid reflux, difficulty swallowing, heartburn after meals",GERD
"difficulty swallowing, chest pain, acid reflux, heartburn after meals",GERD
"sensitivity to light, nausea",Migraine
"skin hives, runny nose, sneezing and itchy eyes",Allergy
"cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"visual disturbances, sensitivity to light, throbbing headache",Migraine
"difficulty swallowing, heartburn after meals, acid reflux",GERD
"heartburn after meals, chest pain",GERD
"nasal congestion, skin hives, sneezing and itchy eyes",Allergy
"nasal congestion, sneezing and itchy eyes",Allergy
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"abdominal cramps, vomiting",Gastroenteritis
"throbbing headache, sensitivity to light",Migraine
"sneezing and runny nose, cough",Common Cold
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"rash, flaky patches, itchy skin with redness",Fungal Infection
"painful urination, cloudy urine, frequent urge to urinate",UTI
"abdominal cramps, diarrhea",Gastroenteritis
"headache, loss of appetite, itchy blister rash, fever and tiredness",Chickenpox
"loss of appetite, headache, weakness and fatigue, fever for 4 days",Typhoid
"nausea, sweating, high fever with chills",Malaria
"throbbing headache, nausea",Migraine
"nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"skin hives, nasal congestion, runny nose",Allergy
"heartburn after meals, chest pain, acid reflux, difficulty swallowing",GERD
"cloudy urine, lower abdominal pain",UTI
"acid reflux, difficulty swallowing",GERD
"painful urination, lower abdominal pain, frequent urge to urinate, cloudy urine",UTI
"flaky patches, burning sensation, itchy skin with redness",Fungal Infection
"abdominal cramps, dehydration, vomiting, diarrhea",Gastroenteritis
"visual disturbances, sensitivity to light",Migraine
"loss of appetite, fever for 3 days",Typhoid
"frequent urge to urinate, lower abdominal pain, cloudy urine",UTI
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"weakness and fatigue, headache, loss of appetite",Typhoid
"weakness and fatigue, fever for 3 days, loss of appetite, headache",Typhoid
"headache, weakness and fatigue, loss of appetite, fever for 5 days",Typhoid
"chest pain, difficulty swallowing",GERD
"loss of appetite, fever for 1 days, headache",Typhoid
"nausea, sensitivity to light, throbbing headache",Migraine
"abdominal cramps, dehydration, vomiting",Gastroenteritis
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"nasal congestion, cough",Common Cold
"cloudy urine, painful urination, frequent urge to urinate, lower abdominal pain",UTI
"nasal congestion, runny nose, sneezing and itchy eyes",Allergy
"burning sensation, flaky patches, rash",Fungal Infection
"sneezing and itchy eyes, skin hives",Allergy
"loss of appetite, weakness and fatigue",Typhoid
"nausea, body aches",Malaria
"sensitivity to light, visual disturbances",Migraine
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"cough, sore throat, nasal congestion",Common Cold
"nausea, throbbing headache",Migraine
"sensitivity to light, visual disturbances",Migraine
"loss of appetite, headache, weakness and fatigue, fever for 3 days",Typhoid
"loss of appetite, headache, weakness and fatigue, fever for 4 days",Typhoid
"lower abdominal pain, painful urination, cloudy urine",UTI
"runny nose, sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"chest pain, acid reflux, difficulty swallowing",GERD
"nausea, sweating",Malaria
"skin hives, sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"visual disturbances, nausea, sensitivity to light, throbbing headache",Migraine
"loss of appetite, fever and tiredness, headache, itchy blister rash",Chickenpox
"sore throat, nasal congestion, sneezing and runny nose",Common Cold
"rash, itchy skin with redness",Fungal Infection
"loss of appetite, fever and tiredness, itchy blister rash",Chickenpox
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"difficulty swallowing, chest pain",GERD
"weakness and fatigue, headache, fever for 4 days",Typhoid
"heartburn after meals, chest pain, acid reflux",GERD
"cloudy urine, frequent urge to urinate, lower abdominal pain, painful urination",UTI
"runny nose, sneezing and itchy eyes",Allergy
"sweating, body aches",Malaria
"sneezing and itchy eyes, nasal congestion, skin hives, runny nose",Allergy
"burning sensation, itchy skin with redness",Fungal Infection
"nausea, sweating, body aches",Malaria
"painful urination, frequent urge to urinate, cloudy urine",UTI
"dehydration, diarrhea, abdominal cramps, vomiting",Gastroenteritis
"loss of appetite, fever for 5 days",Typhoid
"nasal congestion, cough",Common Cold
"cloudy urine, lower abdominal pain",UTI
"nausea, body aches, high fever with chills, sweating",Malaria
"diarrhea, dehydration, vomiting, abdominal cramps",Gastroenteritis
"nasal congestion, runny nose, sneezing and itchy eyes, skin hives",Allergy
"difficulty swallowing, heartburn after meals",GERD
"frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"visual disturbances, sensitivity to light, nausea",Migraine
"nasal congestion, cough, sore throat",Common Cold
"visual disturbances, throbbing headache, nausea, sensitivity to light",Migraine
"diarrhea, dehydration",Gastroenteritis
"fever and tiredness, itchy blister rash",Chickenpox
"sneezing and runny nose, nasal congestion",Common Cold
"itchy blister rash, headache, fever and tiredness",Chickenpox
"sensitivity to light, nausea, visual disturbances",Migraine
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"nausea, visual disturbances, throbbing headache",Migraine
"high fever with chills, nausea",Malaria
"diarrhea, abdominal cramps",Gastroenteritis
"sore throat, cough, nasal congestion, sneezing and runny nose",Common Cold
"sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"throbbing headache, visual disturbances, sensitivity to light",Migraine
"visual disturbances, sensitivity to light, nausea, throbbing headache",Migraine
"flaky patches, burning sensation, rash",Fungal Infection
"visual disturbances, throbbing headache, nausea",Migraine
"fever and tiredness, itchy blister rash",Chickenpox
"loss of appetite, itchy blister rash, fever and tiredness",Chickenpox
"sore throat, sneezing and runny nose, cough",Common Cold
"headache, loss of appetite, weakness and fatigue",Typhoid
"diarrhea, vomiting, abdominal cramps, dehydration",Gastroenteritis
"headache, weakness and fatigue, loss of appetite, fever for 3 days",Typhoid
"fever for 4 days, weakness and fatigue, loss of appetite",Typhoid
"burning sensation, rash",Fungal Infection
"loss of appetite, weakness and fatigue, headache, fever for 5 days",Typhoid
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"chest pain, difficulty swallowing, acid reflux",GERD
"high fever with chills, nausea, sweating",Malaria
"dehydration, vomiting, diarrhea",Gastroenteritis
"loss of appetite, headache",Chickenpox
"lower abdominal pain, frequent urge to urinate",UTI
"burning sensation, itchy skin with redness",Fungal Infection
"vomiting, diarrhea",Gastroenteritis
"heartburn after meals, difficulty swallowing, chest pain",GERD
"cough, sneezing and runny nose, nasal congestion",Common Cold
"loss of appetite, fever and tiredness",Chickenpox
"burning sensation, itchy skin with redness",Fungal Infection
"itchy skin with redness, rash, flaky patches, burning sensation",Fungal Infection
"lower abdominal pain, cloudy urine, painful urination, frequent urge to urinate",UTI
"high fever with chills, nausea",Malaria
"nasal congestion, sneezing and runny nose, sore throat, cough",Common Cold
"throbbing headache, nausea, sensitivity to light",Migraine
"acid reflux, chest pain, heartburn after meals",GERD
"diarrhea, vomiting, dehydration, abdominal cramps",Gastroenteritis
"itchy skin with redness, burning sensation",Fungal Infection
"itchy skin with redness, flaky patches, burning sensation, rash",Fungal Infection
"heartburn after meals, chest pain",GERD
"sweating, high fever with chills, nausea",Malaria
"cough, sneezing and runny nose, nasal congestion, sore throat",Common Cold
"itchy blister rash, fever and tiredness, headache",Chickenpox
"cough, sore throat, nasal congestion",Common Cold
"body aches, sweating, high fever with chills, nausea",Malaria
"abdominal cramps, dehydration",Gastroenteritis
"sneezing and runny nose, sore throat",Common Cold
"nasal congestion, sore throat, cough, sneezing and runny nose",Common Cold
"painful urination, cloudy urine",UTI
"lower abdominal pain, cloudy urine, painful urination",UTI
"dehydration, diarrhea, abdominal cramps",Gastroenteritis
"loss of appetite, headache, fever and tiredness, itchy blister rash",Chickenpox
"rash, burning sensation",Fungal Infection
"fever and tiredness, loss of appetite",Chickenpox
"sweating, high fever with chills",Malaria
"cloudy urine, painful urination",UTI
"acid reflux, chest pain, difficulty swallowing",GERD
"sore throat, sneezing and runny nose, nasal congestion, cough",Common Cold
"headache, itchy blister rash, loss of appetite",Chickenpox
"itchy blister rash, headache",Chickenpox
"chest pain, heartburn after meals",GERD
"loss of appetite, fever and tiredness",Chickenpox
"sweating, high fever with chills, nausea",Malaria
"body aches, nausea, high fever with chills, sweating",Malaria
"heartburn after meals, difficulty swallowing",GERD
"dehydration, vomiting, diarrhea, abdominal cramps",Gastroenteritis
"itchy blister rash, headache, fever and tiredness",Chickenpox
"dehydration, abdominal cramps, vomiting, diarrhea",Gastroenteritis
"cough, sneezing and runny nose",Common Cold
"cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"nasal congestion, skin hives, sneezing and itchy eyes, runny nose",Allergy
"nasal congestion, sore throat, cough, sneezing and runny nose",Common Cold
"cough, nasal congestion, sore throat",Common Cold
"vomiting, diarrhea, dehydration",Gastroenteritis
"chest pain, difficulty swallowing, acid reflux, heartburn after meals",GERD
"heartburn after meals, difficulty swallowing, acid reflux, chest pain",GERD
"itchy blister rash, fever and tiredness, loss of appetite, headache",Chickenpox
"flaky patches, rash, itchy skin with redness, burning sensation",Fungal Infection
"cloudy urine, lower abdominal pain",UTI
"high fever with chills, body aches",Malaria
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"diarrhea, abdominal cramps, dehydration",Gastroenteritis
"sweating, nausea",Malaria
"visual disturbances, throbbing headache",Migraine
"headache, fever and tiredness, loss of appetite",Chickenpox
"flaky patches, rash, burning sensation",Fungal Infection
"loss of appetite, weakness and fatigue, fever for 5 days",Typhoid
"fever for 2 days, headache",Typhoid
"high fever with chills, body aches, nausea",Malaria
"vomiting, diarrhea, dehydration, abdominal cramps",Gastroenteritis
"skin hives, nasal congestion",Allergy
"loss of appetite, itchy blister rash, fever and tiredness",Chickenpox
"runny nose, sneezing and itchy eyes",Allergy
"diarrhea, dehydration",Gastroenteritis
"loss of appetite, headache",Typhoid
"nasal congestion, skin hives, sneezing and itchy eyes",Allergy
"body aches, high fever with chills, nausea",Malaria
"high fever with chills, body aches, sweating",Malaria
"nausea, body aches, sweating",Malaria
"abdominal cramps, vomiting",Gastroenteritis
"nausea, sweating, high fever with chills, body aches",Malaria
"sneezing and itchy eyes, skin hives, nasal congestion, runny nose",Allergy
"acid reflux, difficulty swallowing, heartburn after meals",GERD
"sweating, body aches",Malaria
"sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"acid reflux, difficulty swallowing, chest pain",GERD
"nausea, sweating, high fever with chills, body aches",Malaria
"nausea, throbbing headache",Migraine
"headache, weakness and fatigue, fever for 5 days, loss of appetite",Typhoid
"difficulty swallowing, heartburn after meals",GERD
"dehydration, abdominal cramps",Gastroenteritis
"nausea, throbbing headache, sensitivity to light, visual disturbances",Migraine
"itchy blister rash, fever and tiredness, headache, loss of appetite",Chickenpox
"rash, burning sensation, flaky patches",Fungal Infection
"lower abdominal pain, cloudy urine, painful urination, frequent urge to urinate",UTI
"nausea, visual disturbances, throbbing headache",Migraine
"painful urination, frequent urge to urinate",UTI
"sneezing and runny nose, cough, sore throat, nasal congestion",Common Cold
"lower abdominal pain, cloudy urine",UTI
"sore throat, cough, sneezing and runny nose",Common Cold
"vomiting, abdominal cramps, diarrhea",Gastroenteritis
"itchy skin with redness, flaky patches, rash, burning sensation",Fungal Infection
"body aches, high fever with chills, sweating",Malaria
"heartburn after meals, chest pain, acid reflux",GERD
"nasal congestion, runny nose, skin hives",Allergy
"loss of appetite, headache, weakness and fatigue, fever for 2 days",Typhoid
"sore throat, nasal congestion, sneezing and runny nose, cough",Common Cold
"sweating, nausea, high fever with chills, body aches",Malaria
"sneezing and itchy eyes, runny nose",Allergy
"itchy blister rash, headache",Chickenpox
"cloudy urine, lower abdominal pain, frequent urge to urinate, painful urination",UTI
"vomiting, dehydration, abdominal cramps, diarrhea",Gastroenteritis
"weakness and fatigue, fever for 4 days, headache, loss of appetite",Typhoid
"acid reflux, heartburn after meals, difficulty swallowing",GERD
"cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"itchy skin with redness, burning sensation, rash, flaky patches",Fungal Infection
"visual disturbances, throbbing headache, sensitivity to light",Migraine
"nasal congestion, runny nose, skin hives",Allergy
"headache, fever for 2 days, weakness and fatigue, loss of appetite",Typhoid
"nasal congestion, runny nose",Allergy
"headache, loss of appetite, itchy blister rash",Chickenpox
"chest pain, heartburn after meals",GERD
"sneezing and runny nose, sore throat, cough",Common Cold
"abdominal cramps, vomiting, dehydration",Gastroenteritis
"cough, sore throat, nasal congestion",Common Cold
"diarrhea, dehydration",Gastroenteritis
"itchy skin with redness, flaky patches, rash, burning sensation",Fungal Infection
"sneezing and itchy eyes, nasal congestion",Allergy
"skin hives, sneezing and itchy eyes",Allergy
"high fever with chills, body aches, nausea, sweating",Malaria
"throbbing headache, nausea, sensitivity to light",Migraine
"nausea, high fever with chills",Malaria
"cough, nasal congestion, sore throat, sneezing and runny nose",Common Cold
"headache, fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"vomiting, abdominal cramps",Gastroenteritis
"painful urination, cloudy urine, lower abdominal pain",UTI
"body aches, nausea, high fever with chills, sweating",Malaria
"sore throat, sneezing and runny nose, cough",Common Cold
"throbbing headache, sensitivity to light, visual disturbances",Migraine
"chest pain, difficulty swallowing, acid reflux",GERD
"lower abdominal pain, cloudy urine, frequent urge to urinate, painful urination",UTI
"skin hives, runny nose, nasal congestion, sneezing and itchy eyes",Allergy
"diarrhea, dehydration, abdominal cramps, vomiting",Gastroenteritis
"burning sensation, flaky patches",Fungal Infection
"abdominal cramps, dehydration, diarrhea",Gastroenteritis
"nasal congestion, runny nose",Allergy
"loss of appetite, headache, itchy blister rash",Chickenpox
"loss of appetite, itchy blister rash, headache, fever and tiredness",Chickenpox
"headache, loss of appetite, weakness and fatigue",Typhoid
"nausea, sweating",Malaria
"sneezing and itchy eyes, skin hives, nasal congestion",Allergy
"sore throat, cough, nasal congestion, sneezing and runny nose",Common Cold
"high fever with chills, body aches, sweating",Malaria
"high fever with chills, body aches, sweating, nausea",Malaria
"fever for 3 days, loss of appetite",Typhoid
"loss of appetite, fever for 2 days",Typhoid
"difficulty swallowing, acid reflux, chest pain, heartburn after meals",GERD
"flaky patches, burning sensation, rash, itchy skin with redness",Fungal Infection
"lower abdominal pain, frequent urge to urinate, cloudy urine, painful urination",UTI
"nausea, body aches, sweating, high fever with chills",Malaria
"sneezing and runny nose, cough, sore throat, nasal congestion",Common Cold
"throbbing headache, sensitivity to light",Migraine
"nausea, sensitivity to light",Migraine
"cough, sneezing and runny nose, nasal congestion, sore throat",Common Cold
"frequent urge to urinate, cloudy urine",UTI
"throbbing headache, sensitivity to light",Migraine
"burning sensation, flaky patches, rash",Fungal Infection
"nasal congestion, sneezing and runny nose, sore throat, cough",Common Cold
"sneezing and itchy eyes, nasal congestion, skin hives",Allergy
"dehydration, abdominal cramps, vomiting",Gastroenteritis
"headache, itchy blister rash, fever and tiredness",Chickenpox
"loss of appetite, weakness and fatigue",Typhoid
"frequent urge to urinate, lower abdominal pain",UTI
"painful urination, frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"itchy blister rash, loss of appetite, fever and tiredness, headache",Chickenpox
"nausea, throbbing headache, visual disturbances, sensitivity to light",Migraine
"fever and tiredness, headache, itchy blister rash, loss of appetite",Chickenpox
"sneezing and runny nose, sore throat, cough",Common Cold
"headache, loss of appetite",Chickenpox
"sneezing and itchy eyes, runny nose, skin hives, nasal congestion",Allergy
"itchy blister rash, loss of appetite, headache, fever and tiredness",Chickenpox
"acid reflux, chest pain, difficulty swallowing",GERD
"fever and tiredness, itchy blister rash",Chickenpox
"itchy blister rash, headache, loss of appetite, fever and tiredness",Chickenpox
"sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"sneezing and itchy eyes, nasal congestion, runny nose",Allergy
"heartburn after meals, difficulty swallowing, chest pain",GERD
"loss of appetite, itchy blister rash",Chickenpox
"fever and tiredness, headache, loss of appetite, itchy blister rash",Chickenpox
"cough, nasal congestion, sore throat",Common Cold
"abdominal cramps, vomiting",Gastroenteritis
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"painful urination, frequent urge to urinate, lower abdominal pain",UTI
"weakness and fatigue, headache, loss of appetite",Typhoid
"visual disturbances, throbbing headache, sensitivity to light, nausea",Migraine
"frequent urge to urinate, painful urination, lower abdominal pain, cloudy urine",UTI
"painful urination, cloudy urine, frequent urge to urinate, lower abdominal pain",UTI
"loss of appetite, fever and tiredness, headache",Chickenpox
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"sneezing and itchy eyes, skin hives, runny nose, nasal congestion",Allergy
"body aches, high fever with chills, nausea",Malaria
"painful urination, lower abdominal pain",UTI
"headache, itchy blister rash, fever and tiredness",Chickenpox
"heartburn after meals, acid reflux, chest pain",GERD
"itchy blister rash, fever and tiredness",Chickenpox
"sensitivity to light, visual disturbances, nausea, throbbing headache",Migraine
"throbbing headache, nausea",Migraine
"painful urination, frequent urge to urinate",UTI
"weakness and fatigue, loss of appetite",Typhoid
"sneezing and runny nose, sore throat, nasal congestion, cough",Common Cold
"heartburn after meals, difficulty swallowing, acid reflux",GERD
"cloudy urine, painful urination, lower abdominal pain, frequent urge to urinate",UTI
"sore throat, sneezing and runny nose, cough, nasal congestion",Common Cold
"diarrhea, abdominal cramps, vomiting",Gastroenteritis
"weakness and fatigue, fever for 1 days",Typhoid
"nasal congestion, runny nose",Allergy
"loss of appetite, itchy blister rash",Chickenpox
"itchy skin with redness, flaky patches, burning sensation",Fungal Infection
"abdominal cramps, vomiting, dehydration",Gastroenteritis
"cloudy urine, painful urination",UTI
"painful urination, lower abdominal pain, cloudy urine, frequent urge to urinate",UTI
"cloudy urine, frequent urge to urinate, painful urination",UTI
"headache, fever and tiredness",Chickenpox
"weakness and fatigue, loss of appetite, fever for 5 days, headache",Typhoid
"sensitivity to light, throbbing headache, nausea, visual disturbances",Migraine
"nausea, sensitivity to light, throbbing headache, visual disturbances",Migraine
"flaky patches, itchy skin with redness, rash",Fungal Infection
"high fever with chills, body aches",Malaria
"fever and tiredness, loss of appetite, headache",Chickenpox
"visual disturbances, throbbing headache, sensitivity to light, nausea",Migraine
"nausea, high fever with chills",Malaria
"sweating, high fever with chills, body aches",Malaria
"chest pain, acid reflux, heartburn after meals",GERD
"runny nose, sneezing and itchy eyes",Allergy
"loss of appetite, weakness and fatigue, headache, fever for 5 days",Typhoid
"skin hives, runny nose",Allergy
"painful urination, cloudy urine, lower abdominal pain, frequent urge to urinate",UTI
"diarrhea, dehydration, vomiting, abdominal cramps",Gastroenteritis
"lower abdominal pain, cloudy urine, painful urination",UTI
"heartburn after meals, chest pain",GERD
"lower abdominal pain, painful urination, cloudy urine",UTI
"flaky patches, itchy skin with redness, rash",Fungal Infection
"chest pain, difficulty swallowing",GERD
"flaky patches, itchy skin with redness, rash, burning sensation",Fungal Infection
"skin hives, runny nose",Allergy
"weakness and fatigue, loss of appetite, fever for 4 days, headache",Typhoid
"rash, flaky patches, burning sensation",Fungal Infection
"fever and tiredness, itchy blister rash",Chickenpox
"chest pain, acid reflux, difficulty swallowing, heartburn after meals",GERD
"nausea, sensitivity to light, visual disturbances, throbbing headache",Migraine
"vomiting, dehydration, diarrhea",Gastroenteritis
"skin hives, sneezing and itchy eyes, runny nose, nasal congestion",Allergy
"headache, fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"itchy skin with redness, rash, flaky patches",Fungal Infection
"nausea, sensitivity to light",Migraine
"loss of appetite, headache, itchy blister rash, fever and tiredness",Chickenpox
"sneezing and runny nose, sore throat",Common Cold
"nausea, throbbing headache",Migraine
"lower abdominal pain, cloudy urine, painful urination, frequent urge to urinate",UTI
"headache, loss of appetite",Typhoid
"burning sensation, rash",Fungal Infection
"weakness and fatigue, headache, fever for 5 days, loss of appetite",Typhoid
"cough, sneezing and runny nose",Common Cold
"difficulty swallowing, heartburn after meals, acid reflux, chest pain",GERD
"skin hives, runny nose, sneezing and itchy eyes",Allergy
"sensitivity to light, nausea, throbbing headache",Migraine
"lower abdominal pain, frequent urge to urinate, cloudy urine, painful urination",UTI
"sneezing and itchy eyes, skin hives, runny nose",Allergy
"sore throat, sneezing and runny nose, nasal congestion, cough",Common Cold
"skin hives, sneezing and itchy eyes, nasal congestion",Allergy
"throbbing headache, visual disturbances, sensitivity to light, nausea",Migraine
"cough, sneezing and runny nose",Common Cold
